-30.701	115.472	113	BO	3.51	B
-29.883	115.151	171	BO	1.76	D
-29.237	115.016	142	BO	1.17	D
-30.248	115.415	96	BO	2.88	B
-29.714	115.185	15	BO	2.81	B
-37.409	140.872	130	BO	2.39	D
-37.563	140.234	147	BO	2.26	C
-37.432	140.762	143	BO	2.14	D
-37.45	140.615	147	BO	1.31	D
-37.442	140.83	140	BO	2.47	C
-28.038	140.001	99	DIF	1.32	D
-27.563	140.651	102	DIF	2.08	C
-28.026	140.781	102	DIF	1.85	B
-28.018	140.256	104	DIF	2.75	B
-27.839	140.577	97	DIF	2.82	B
-28.035	139.992	104	BO	1.89	B
-15.083	133.996	17	HFM	0.3	B
-15.028	133.753	30	HFM	0.37	A
-28.315	139.92	999	BO	0	E
-28.125	139.606	999	BO	0	E
-28.538	140.314	999	BO	0	E
-28.519	140.38	999	BO	0	E
-28.009	140.004	999	BO	0	E
-27.951	140.045	999	BO	0	E
-28.513	140.376	999	BO	0	E
-27.543	140.578	121	DIF	2.57	C
-28.285	140.04	106	DIF	2.52	D
-27.852	140.126	117	BO	2.76	A
-28.49	140.715	94	DIF	1.58	D
-28.074	140.323	93	BO	2.68	B
-27.736	140.178	95	DIF	2.2	D
-27.728	140.185	103	DIF	2.23	D
-28.129	139.619	129	DIF	2.06	D
-28.453	139.966	150	BO	2.23	D
-28.185	140.792	105	BO	2.68	A
-28.503	140.312	84	DIF	1.23	D
-28.503	140.312	93	BO	1.28	D
-27.653	139.936	122	DIF	2.91	D
-28.29	139.922	102	DIF	2.02	D
-28.088	140.858	93	DIF	2.39	A
-28.088	140.858	98	BO	2.43	A
-28.11	140.89	97	BO	1.53	D
-28.11	140.89	96	DIF	1.49	A
-28.129	139.958	102	DIF	2.59	D
-28.129	139.958	101	BO	2.55	D
-28.157	139.976	123	DIF	2.28	D
-27.584	140.008	134	DIF	2.83	C
-27.584	140.008	130	BO	2.84	A
-28.224	140.341	111	BO	2.81	A
-28.536	140.369	104	BO	1.24	D
